L,1.0,4.0,3.0,3.0,1.0,7.0,3.0,1.0,7.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0
I,4.0,6.0,6.0,7.0,5.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,3.0,8.0,8.0,7.0
L,3.0,5.0,4.0,4.0,3.0,8.0,9.0,4.0,5.0,6.0,6.0,9.0,3.0,8.0,7.0,10.0
L,6.0,9.0,5.0,4.0,2.0,8.0,3.0,3.0,4.0,11.0,4.0,13.0,2.0,6.0,6.0,8.0
L,3.0,7.0,3.0,5.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
L,3.0,6.0,5.0,4.0,5.0,7.0,8.0,3.0,5.0,6.0,7.0,10.0,5.0,11.0,5.0,6.0
W,3.0,6.0,4.0,4.0,4.0,8.0,7.0,6.0,2.0,6.0,8.0,9.0,5.0,8.0,3.0,7.0
W,4.0,2.0,6.0,3.0,3.0,7.0,11.0,2.0,2.0,6.0,9.0,8.0,7.0,11.0,0.0,8.0
L,4.0,9.0,5.0,7.0,4.0,7.0,4.0,1.0,7.0,8.0,2.0,9.0,1.0,6.0,2.0,8.0
I,3.0,11.0,4.0,8.0,2.0,6.0,8.0,0.0,8.0,13.0,7.0,8.0,0.0,8.0,1.0,7.0
L,4.0,9.0,5.0,7.0,4.0,4.0,5.0,3.0,9.0,3.0,1.0,9.0,0.0,7.0,2.0,6.0
L,2.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,6.0,2.0,2.0,5.0,0.0,7.0,0.0,6.0
I,1.0,4.0,0.0,6.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
L,4.0,9.0,5.0,7.0,4.0,9.0,4.0,1.0,7.0,9.0,2.0,10.0,1.0,6.0,3.0,9.0
L,3.0,8.0,3.0,6.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
I,2.0,8.0,5.0,6.0,5.0,11.0,6.0,1.0,6.0,9.0,4.0,5.0,1.0,7.0,5.0,8.0
I,3.0,7.0,4.0,5.0,2.0,7.0,9.0,0.0,7.0,13.0,6.0,6.0,0.0,9.0,2.0,7.0
W,3.0,4.0,4.0,3.0,3.0,6.0,10.0,4.0,2.0,8.0,7.0,7.0,6.0,12.0,1.0,6.0
